Make,Model,Total_Accidents,Total_Fatalities,Total_People_Aboard,Fatality_Rate
Air Tractor,AT 602,13,0.0,14.0,0.0
BOEING,737-7H4,13,0.0,1389.0,0.0
Boeing,767-300,13,0.0,1294.0,0.0
MAULE,MX7,13,0.0,19.0,0.0
PIPER,PA-46-350P,13,0.0,31.0,0.0
Schweizer,300C,13,0.0,20.0,0.0
Piper,PA-60-601P,12,17.0,29.0,0.5862068965517241
PIPER,PA30,12,11.0,20.0,0.55
CESSNA,501,12,17.0,31.0,0.5483870967741935
AIR TRACTOR INC,AT 602,12,6.0,12.0,0.5
Beech,95-A55,12,9.0,20.0,0.45
VANS,RV4,12,7.0,16.0,0.4375
North American,T-28B,12,8.0,19.0,0.42105263157894735
Cessna,310K,12,12.0,29.0,0.41379310344827586
Beech,BE-200,12,19.0,50.0,0.38
Bell,206B III,12,7.0,20.0,0.35
Piper,PA-36-285,12,4.0,12.0,0.3333333333333333
Schleicher,ASW-20,12,4.0,12.0,0.3333333333333333
Aerospatiale,AS350BA,12,15.0,47.0,0.3191489361702128
Beech,B24R,12,8.0,27.0,0.2962962962962963
Beech,60,12,7.0,24.0,0.2916666666666667
Bellanca,7GCAA,12,5.0,18.0,0.2777777777777778
Beech,35-B33,12,8.0,29.0,0.27586206896551724
North American,NAVION,12,6.0,22.0,0.2727272727272727
Hughes,369,12,5.0,21.0,0.23809523809523808
CESSNA,402B,12,6.0,28.0,0.21428571428571427
AMERICAN CHAMPION AIRCRAFT,8KCAB,12,3.0,16.0,0.1875
Aeronca,7DC,12,3.0,16.0,0.1875
Schweizer,269D,12,4.0,25.0,0.16
BEECH,H35,12,3.0,20.0,0.15
Cessna,402A,12,8.0,55.0,0.14545454545454545
CESSNA,182F,12,4.0,29.0,0.13793103448275862
CESSNA,182G,12,3.0,23.0,0.13043478260869565
Maule,M-5,12,3.0,23.0,0.13043478260869565
SAAB,340,12,21.0,165.0,0.12727272727272726
CESSNA,305,12,2.0,18.0,0.1111111111111111
ERCOUPE,415-C,12,2.0,18.0,0.1111111111111111
Gates Learjet,35A,12,5.0,55.0,0.09090909090909091
Boeing,737-500,12,102.0,1154.0,0.08838821490467938
Cessna,188A,12,1.0,12.0,0.08333333333333333
GRUMMAN,G-164A,12,1.0,12.0,0.08333333333333333
Cessna,172XP,12,1.0,16.0,0.0625
Champion,7GCB,12,1.0,17.0,0.058823529411764705
Beech,B23,12,1.0,20.0,0.05
CESSNA,172B,12,1.0,22.0,0.045454545454545456
CESSNA,182E,12,1.0,23.0,0.043478260869565216
BEECH,B19,12,0.0,25.0,0.0
Beech,B35,12,0.0,22.0,0.0
Boeing,777,12,0.0,782.0,0.0
Burkhart Grob,G103,12,0.0,16.0,0.0
Great Lakes,2T-1A-2,12,0.0,17.0,0.0
Maule,M-7-235C,12,0.0,19.0,0.0
CESSNA,T310R,11,16.0,25.0,0.64
Beech,95-55,11,14.0,23.0,0.6086956521739131
ROBINSON,R44 II,11,13.0,22.0,0.5909090909090909
EUROCOPTER,AS350,11,21.0,37.0,0.5675675675675675
ROBINSON,R44 - II,11,14.0,25.0,0.56
Aero Commander,690A,11,20.0,40.0,0.5
Aero Commander,112,11,11.0,23.0,0.4782608695652174
BEECH,P35,11,8.0,18.0,0.4444444444444444
North American,P-51D,11,7.0,16.0,0.4375
BEECH,C35,11,9.0,22.0,0.4090909090909091
Cessna,501,11,15.0,38.0,0.39473684210526316
BEECH,C24R,11,8.0,21.0,0.38095238095238093
AEROSPATIALE,AS350,11,8.0,22.0,0.36363636363636365
Piper,PA-60-602P,11,9.0,25.0,0.36
Piper,PA-34,11,12.0,34.0,0.35294117647058826
Mooney,M-20J,11,6.0,19.0,0.3157894736842105
Cessna,337C,11,6.0,20.0,0.3
PIPER,PA46-500TP,11,9.0,31.0,0.2903225806451613
Kaman,K-1200,11,3.0,11.0,0.2727272727272727
Cessna,150B,11,4.0,17.0,0.23529411764705882
Aerospatiale,SA315B,11,3.0,14.0,0.21428571428571427
Mooney,M20B,11,4.0,19.0,0.21052631578947367
Piper,PA-31T1,11,8.0,38.0,0.21052631578947367
Cessna,180G,11,4.0,20.0,0.2
Taylorcraft,DCO-65,11,4.0,20.0,0.2
Hughes,TH-55,11,3.0,16.0,0.1875
Weatherly,201C,11,2.0,11.0,0.18181818181818182
Grumman,AA-5A,11,4.0,24.0,0.16666666666666666
Grumman,AA-5B,11,3.0,20.0,0.15
Maule,M-5-210C,11,3.0,21.0,0.14285714285714285
Airbus,A320,11,113.0,807.0,0.14002478314745972
Grumman,AA5B,11,3.0,22.0,0.13636363636363635
Hughes,369A,11,3.0,22.0,0.13636363636363635
MCDONNELL DOUGLAS,MD11,11,5.0,38.0,0.13157894736842105
Bell,OH-58C,11,3.0,23.0,0.13043478260869565
PIPER,PA 32-300,11,3.0,23.0,0.13043478260869565
De Havilland,DHC-6,11,13.0,105.0,0.12380952380952381
Republic,RC-3,11,2.0,19.0,0.10526315789473684
Bell,47G2,11,2.0,20.0,0.1
Mooney,M20D,11,2.0,20.0,0.1
Bell,206L3,11,3.0,31.0,0.0967741935483871
Boeing Stearman,A75N1,11,2.0,21.0,0.09523809523809523
Ayres,S2R-G10,11,1.0,11.0,0.09090909090909091
Ayres,S2R-G6,11,1.0,11.0,0.09090909090909091
Cessna,210G,11,2.0,22.0,0.09090909090909091
Schweizer,SGS 1-26E,11,1.0,11.0,0.09090909090909091
Cessna,190,11,2.0,24.0,0.08333333333333333
Douglas,DC-9-31,11,59.0,734.0,0.08038147138964577
AVIAT AIRCRAFT INC,A-1C-180,11,1.0,14.0,0.07142857142857142
Aviat,A-1A,11,1.0,17.0,0.058823529411764705
Cirrus,SR20,11,1.0,17.0,0.058823529411764705
CESSNA,A185E,11,1.0,20.0,0.05
STINSON,108-1,11,1.0,20.0,0.05
Swearingen,SA226TC,11,1.0,37.0,0.02702702702702703
AIRBUS,A319,11,0.0,331.0,0.0
BOEING,A75N1,11,0.0,23.0,0.0
Beech,19,11,0.0,17.0,0.0
Beech,D18S,11,0.0,36.0,0.0
Boeing,737-322,11,0.0,1249.0,0.0
CZECH AIRCRAFT WORKS SPOL SRO,SPORTCRUISER,11,0.0,13.0,0.0
DIAMOND AIRCRAFT IND INC,DA 20 C1,11,0.0,16.0,0.0
Diamond Aircraft Industries,DA 20-A1,11,0.0,19.0,0.0
Enstrom,F-28F,11,0.0,23.0,0.0
Grumman,G-44,11,0.0,21.0,0.0
Gulfstream-schweizer,G-164B,11,0.0,12.0,0.0
Maule,MX-7-235,11,0.0,17.0,0.0
Mcdonnell Douglas,DC-10-10,11,0.0,1900.0,0.0
PIPER,PA 22,11,0.0,16.0,0.0
Piper,PA-18-105,11,0.0,14.0,0.0
RANS,S12,10,9.0,14.0,0.6428571428571429
Piper,PA23,10,10.0,19.0,0.5263157894736842
PIPER,PA 46 350P,10,13.0,26.0,0.5
Rockwell,114,10,13.0,28.0,0.4642857142857143
Beech,D55,10,9.0,20.0,0.45
Mitsubishi,MU-2B-35,10,8.0,20.0,0.4
Aero Commander,500,10,11.0,32.0,0.34375
Cessna,A152,10,5.0,15.0,0.3333333333333333
North American,AT-6D,10,5.0,16.0,0.3125
Piper,PA-36-375,10,4.0,13.0,0.3076923076923077
Schweizer,SGS 1-34,10,3.0,10.0,0.3
PIPER,PA-11,10,5.0,17.0,0.29411764705882354
Sikorsky,S-76A,10,12.0,41.0,0.2926829268292683
Beech,F-33A,10,7.0,24.0,0.2916666666666667
CZECH SPORT AIRCRAFT AS,PIPER SPORT,10,4.0,14.0,0.2857142857142857
Beech,B-60,10,7.0,25.0,0.28
De Havilland,DHC-6-200,10,21.0,77.0,0.2727272727272727
Piper,PA-32-301T,10,8.0,30.0,0.26666666666666666
Piper,PA32RT,10,7.0,27.0,0.25925925925925924
BELL HELICOPTER TEXTRON CANADA,407,10,5.0,20.0,0.25
SWEARINGEN,SA227,10,17.0,68.0,0.25
Socata,TB-20,10,5.0,20.0,0.25
Enstrom,F28C,10,3.0,14.0,0.21428571428571427
PIPER,PA-24,10,4.0,20.0,0.2
PIPER,PA 30,10,4.0,21.0,0.19047619047619047
Cessna,TU206F,10,7.0,37.0,0.1891891891891892
Bell,206B-3,10,3.0,16.0,0.1875
Air Tractor,AT-402A,10,2.0,11.0,0.18181818181818182
Cessna,185A,10,4.0,22.0,0.18181818181818182
Cessna,150A,10,2.0,14.0,0.14285714285714285
DIAMOND,DA20,10,3.0,21.0,0.14285714285714285
BEECH,A23,10,2.0,15.0,0.13333333333333333
Bell,206-L3,10,4.0,30.0,0.13333333333333333
Cessna,T210K,10,3.0,23.0,0.13043478260869565
Cessna,T210R,10,3.0,23.0,0.13043478260869565
PIPER,PA-28R-201,10,3.0,23.0,0.13043478260869565
RYAN,NAVION,10,3.0,24.0,0.125
Rockwell,112TC,10,2.0,16.0,0.125
BEECH,1900C,10,5.0,41.0,0.12195121951219512
MAULE,M-5-235C,10,2.0,17.0,0.11764705882352941
Vans,RV 6,10,2.0,17.0,0.11764705882352941
Robinson,R22A,10,2.0,18.0,0.1111111111111111
HUGHES,369HS,10,2.0,19.0,0.10526315789473684
Piper,PA-28R,10,2.0,19.0,0.10526315789473684
Boeing,A75,10,2.0,20.0,0.1
GRUMMAN ACFT ENG COR-SCHWEIZER,G-164A,10,1.0,10.0,0.1
Snow,S2C,10,1.0,10.0,0.1
Cessna,206H,10,2.0,22.0,0.09090909090909091
Wsk Pzl Mielec,PZL-M-18,10,1.0,11.0,0.09090909090909091
DEHAVILLAND,DHC-2,10,4.0,45.0,0.08888888888888889
